Year	Year (ISO)	Bituminous (tonnes)	Sub-Bituminous (tonnes)	Lignite (tonnes)	Total Production (tonnes)	Under Ground (tonnes)	Open Cast (tonnes)	Total (tonnes)	Index	Column8	Column9
1912	1912-01-01T00:00:00Z	1440356	557596	214606	2212558	2182723	29836	2212559			
1913	1913-01-01T00:00:00Z	1178895	637314	102094	1918303	1890678	27624	1918302			
1914	1914-01-01T00:00:00Z	1516262	704491	91356	2312109	2282694	29414	2312108			
1915	1915-01-01T00:00:00Z	1426936	736635	80494	2244065	2212382	31683	2244065			
1916	1916-01-01T00:00:00Z	1444894	664391	184070	2293355	2261084	32272	2293356			
1917	1917-01-01T00:00:00Z	1268015	639270	194325	2101610	2084740	16870	2101610			
1918	1918-01-01T00:00:00Z	1140318	717099	209477	2066894	2044693	22201	2066894			
1919	1919-01-01T00:00:00Z	976530	695312	205658	1877500	1860093	17407	1877500			
1920	1920-01-01T00:00:00Z	938352	727154	207692	1873198	1837317	35881	1873198			
1921	1921-01-01T00:00:00Z	908189	711355	218582	1838126	1822268	15857	1838125			
1922	1922-01-01T00:00:00Z	983979	721732	181921	1887632	1873261	14370	1887631			
1923	1923-01-01T00:00:00Z	950712	874166	176566	2001444	1990070	11374	2001444			
1924	1924-01-01T00:00:00Z	1102405	852441	161733	2116579	2101928	14651	2116579			
1925	1925-01-01T00:00:00Z	1061491	926051	161393	2148935	2138898	10037	2148935			
1926	1926-01-01T00:00:00Z	1215586	920361	139997	2275944	2270088	5856	2275944			
1927	1927-01-01T00:00:00Z	1311238	969752	123729	2404719	2397425	7294	2404719			
1928	1928-01-01T00:00:00Z	1370375	988856	116625	2475856	2466841	9014	2475855			
1929	1929-01-01T00:00:00Z	1389103	1066446	121008	2576557	2564983	11574	2576557			
1930	1930-01-01T00:00:00Z	1405066	1063473	114346	2582885	2571271	11614	2582885			
1931	1931-01-01T00:00:00Z	994294	1087881	110105	2192280	2177311	14969	2192280			
1932	1932-01-01T00:00:00Z	943129	819337	109114	1871580	1855414	16167	1871581			
1933	1933-01-01T00:00:00Z	857386	874042	119055	1850483	1826719	23764	1850483			
1934	1934-01-01T00:00:00Z	845048	1121683	126645	2093376	2075000	18377	2093377			
1935	1935-01-01T00:00:00Z	838469	1189593	121064	2149126	2132585	16541	2149126			
1936	1936-01-01T00:00:00Z	872639	1168526	133396	2174561	2142069	32492	2174561			
1937	1937-01-01T00:00:00Z	985549	1205357	123445	2314351	2274575	39776	2314351			
1938	1938-01-01T00:00:00Z	993542	1130265	133939	2257746	2215106	42639	2257745			
1939	1939-01-01T00:00:00Z	1061372	1178577	140283	2380232	2332851	47380	2380231			
1940	1940-01-01T00:00:00Z	1162924	1252593	140958	2556475	2504897	51578	2556475			
1941	1941-01-01T00:00:00Z	1198510	1347288	136065	2681863	2626811	55052	2681863			
1942	1942-01-01T00:00:00Z	1193576	1248997	280475	2723048	2666379	56669	2723048			
1943	1943-01-01T00:00:00Z	1157198	1528380	147027	2832605	2769572	63033	2832605			
1944	1944-01-01T00:00:00Z	1085222	1565643	200133	2850998	2651391	199606	2850997			
1945	1945-01-01T00:00:00Z	980182	1649309	249422	2878913	2418990	459923	2878913			
1946	1946-01-01T00:00:00Z	973602	1594124	270845	2838571	2301413	537159	2838572			
1947	1947-01-01T00:00:00Z	950946	1529021	315785	2795752	2140745	655007	2795752			
1948	1948-01-01T00:00:00Z	967933	1532245	320253	2820431	2132843	687587	2820430			
1949	1949-01-01T00:00:00Z	951718	1603229	303473	2858420	2104526	753894	2858420			
1950	1950-01-01T00:00:00Z	935767	1491960	284560	2712287	1988358	723929	2712287			
1951	1951-01-01T00:00:00Z	688809	1494062	291717	2474588	1503112	971475	2474587			
1952	1952-01-01T00:00:00Z	875534	1684965	233436	2793935	1944853	849081	2793934			
1953	1953-01-01T00:00:00Z	786609	1568260	204263	2559132	1903034	656099	2559133			
1954	1954-01-01T00:00:00Z	827017	1616443	192426	2635886	1918435	717451	2635886			
1955	1955-01-01T00:00:00Z	796254	1615637	185668	2597559	1817976	779583	2597559			
1956	1956-01-01T00:00:00Z	813916	1647221	208746	2669883	1860104	809779	2669883			
1957	1957-01-01T00:00:00Z	845443	1628199	180744	2654386	1905130	749255	2654385			
1958	1958-01-01T00:00:00Z	852117	1730030	181535	2763682	1961276	802406	2763682			
1959	1959-01-01T00:00:00Z	854403	1827210	173066	2854679	1952213	902466	2854679			
1960	1960-01-01T00:00:00Z	812965	2084627	162786	3060378	1922392	1137986	3060378			
1961	1961-01-01T00:00:00Z	768672	2043825	159161	2971658	1842794	1128863	2971657			
1962	1962-01-01T00:00:00Z	712330	1728150	150639	2591119	1723914	867204	2591118			
1963	1963-01-01T00:00:00Z	671711	1950701	164007	2786419	1648428	1137990	2786418			
1964	1964-01-01T00:00:00Z	692771	2070961	159407	2923139	1678514	1244624	2923138			
1965	1965-01-01T00:00:00Z	673931	1867377	160396	2701704	1635535	1066168	2701703			
1966	1966-01-01T00:00:00Z	642637	1825474	168053	2636164	1527100	1109063	2636163			
1967	1967-01-01T00:00:00Z	594569	1643365	169309	2407243	1393060	1014182	2407242			
1968	1968-01-01T00:00:00Z	581095	1507272	171899	2260266	1368432	891833	2260265			
1969	1969-01-01T00:00:00Z	487830	1704882	171230	2363942	1255299	1108642	2363941			
1970	1970-01-01T00:00:00Z	449924	1746076	190145	2386145	1177782	1208362	2386144			
1971	1971-01-01T00:00:00Z	389477	1573180	161583	2124240	946189	1178051	2124240			
1972	1972-01-01T00:00:00Z	381991	1647270	152093	2181354	788798	1392556	2181354			
1973	1973-01-01T00:00:00Z	422106	1901630	144806	2468542	798380	1670161	2468541			
1974	1974-01-01T00:00:00Z	422215	1998495	143607	2564317	805504	1758813	2564317			
1975	1975-01-01T00:00:00Z	457414	1818530	136449	2412393	716934	1695459	2412393			
1976	1976-01-01T00:00:00Z	445497	1871549	169858	2486904	722791	1764113	2486904			
1977	1977-01-01T00:00:00Z	388820	1816366	163723	2368909	634612	1734297	2368909			
1978	1978-01-01T00:00:00Z	363773	1667795	150933	2182501	580907	1601594	2182501			
1979	1979-01-01T00:00:00Z	383752	1354839	209008	1947599	601117	1346482	1947599			
1980	1980-01-01T00:00:00Z	481493	1473176	207974	2162643	674745	1487898	2162643			
